slug,page_id,title
painting-path-painting,3uTr7cH1lHb0ZIi3lsU5dJ,Painting path brush strokes
filters-filter-twirl,6lUATYv9e0ewO0xovkaFRp,Twirl
filters-filter-bilateral-blur,4sO7tL3aiy6nzAwXNkVOQO,Bilateral Blur
filters-filter-displace,3FzQycsFJfqbSfmU2NUu3e,Displace
tools-tools-table,1HIzFFI3BKQEtor734GL2f,Table Tool
tools-tools-blemish-removal,2vZ9fIuy57jLzGfDFrZwMT,Blemish Removal Tool
filters-filter-pinch-punch,3OiBltmtLgqLUReY07cKAS,Pinch/Punch
get-started-document-units,5leoP27lKdcXnFs6U1q40N,Document units
workspace-field-input,1C1pzzTRSB1let7Dc1Ul9h,Field input
workspace-interface,32fTBHxlTU0EtRkZgVD3fF,Interface Visual Reference
workspace-toolbar,Z1nblFKm8kR08IKIqMbpi,Toolbar
workspace-tone-mapping-studio,2BG4vNCuBJoqoOK6HSSdOb,Tone Mapping Studio
get-started-import-adobe,3v2NeGD9EmragsBQtCgZKy,Importing other Adobe documents
tools-tools-blur-brush,5zAMazCWHqc1sMdyaGYXm3,Blur Brush Tool
get-started-new-from-clipboard,3fHyKhfTcQsDiK4aBPzkkf,New document from clipboard
tools-tools-colorize,2XQ75fUAM1cnOR3oVJWg9S,Colorize Tool
introduction-key-features-vectordesign,78T1doQcuG5v8KWGcnl7pn,Key features - vector design
get-started-import-pdf,7ttWkLyzCbEnI7zZqSdyNf,Importing PDF documents
tools-tools-super-resolution,6cpjPxrKXcMd84sp1ItLZH,Super Resolution Tool
sharing-export-to-canva,1yg3JzBvAMHIvb3sl25Q8j,Export to Canva
workspace-about-studios,4i6ytLzpDJ2tjuFhA4W9iU,About Studios
selections-edit-selection-as-layer,7ExejfAQR9hvH9pSKlYSCR,Edit selection as layer using Quick Mask
filters-filter-shadows-highlights,2Afs2CkJLVKlYsuIPYkNLX,Shadows / Highlights
object-control-select,3SXhwhFSVtkInenrN3LeCz,Selecting
workspace-customizing-shortcuts,66t5OWPUaL3hr4RL6QohWh,Customizing keyboard shortcuts
get-started-import-in-design,36yi7d1Zh2IPfHr0ouOf0h,Importing InDesign documents
tools-tools-median-brush,68LzJUgIf61TqbLneqDVjf,Median Brush Tool
workspace-customizing-tools-panel,5HiKInZpQ1jWqj9oYEESUv,Customizing tools
workspace-liquify-studio,3B1574lUzxzle4kg2go13p,Liquify Studio
workspace-pixel-studio,4WfcIGOXzAVFRlpEwXJhev,Pixel Studio
tools-tools-pan,3SMYRSUIdaQZpF2MuW6Tdx,View Tool
tools-tools-generative-fill,rWL9bRxdfBl3cDTjB4XXK,Generative Fill Tool
workspace-context-bar,af5k42FbXphbywcE7eURS,Context toolbar
object-control-object-defaults,1yFjtl1zl9a1VURV2uYO2k,Object defaults
media-picture-frames,3R7rQkd8hBqJlQW8YfigRW,Picture frames
canva-ai-canva-ai-create-normals-map,QgaBN5j2wUZ1yhYfQFNm5,Create Normals Map
filters-filter-add-noise,Bl55P3PMstWacD8rh620j,Add Noise
tools-tools-smudge-brush,18J2YmavPxWVXdaIQyI28q,Smudge Brush Tool
workspace-canva-aistudio,37A93CIhjA5lzohTQa2Typ,Canva AI Studio
tools-tools-flood-select,5hex8oJtRvr5frOArNDyUf,Flood Select Tool
filters-filter-motion-blur,3jfUoKx21RLcuxZmb7c6ci,Motion Blur
layer-fx-layer-fx-outline,6wJbRkpst4KtlO4GxvdXcu,Outline
filters-filter-lens-blur,2JDOHc8fXJF27Ywec1hDxi,Lens Blur
filters-filter-maximum-blur,2CvLTAzyKJn2HAe94HxcxP,Maximum Blur
tools-tools-generative-edit,1QJJs10zypfTtW0sqU7TMl,Generative Edit Tool
tools-tools-generative-expand,356imPum5yAqWa5JBPygxc,Generative Expand Tool
tools-tools-knife,5qaLYqgEDhUPIOzVPTPdZE,Knife Tool
filters-filter-high-pass,5XwDYSuzJEm38lpQXnPB15,High Pass
workspace-slice-studio,4diGaPATy04PhqmJgfuzzU,Slice Studio
workspace-appdoc-windows,3yaCXJh0uGDa2U0WkUDNVm,App and document windows (desktop only)
get-started-new-document,1FR3AtcyybaGxezBpHct2P,Creating new documents
workspace-layout-studio,1JJL7pCZl6p9J1CJObn8Yi,Layout Studio
tools-tools-dodge-brush,2kURu6AZjo7bhJ8F7fITLk,Dodge Brush Tool
workspace-customizing-toolbar,2RLTnKrxzyrDBPFTj1THs8,Customizing the Toolbar
workspace-ui-appearance,4nD5TpJdiwhT9xvnj6qAEa,Changing the UI appearance
filters-filter-defringe,2xxzUpW7qdyWyJM2G6yvuh,Defringe
workspace-develop-studio,3tDgNKUwDjcDpQYVnNKoqW,Develop Studio
tables-sort-tables,5noDAiHRrT5CiGLwV2VqkP,Sorting tables
filters-filter-diffuse,2PgEO0SZli1zXwmPdjl5Ny,Diffuse
layer-fx-layer-fx-outer-glow,3btozq3EBAAPrTYlhUz8n6,Outer Glow
filters-filter-radial-blur,4vfpjTggMiaYPhmRZfXDvi,Radial Blur
tools-tools-background-erase-brush,FhIerEioGDR2hsXzDx1QZ,Background Erase Brush Tool
filters-filter-ripple,21UvYDmKcs1lZS2JdQkLXW,Ripple
design-aids-snapping,3IzjC2mWzFabBpnIJ64TkY,Snapping
tables-create-custom-tables,7eNzX37KbCRXhf9fZRhNR1,Creating table formats
get-started-save,71k7mMt7vV8Qm43AXYz1pv,Saving
tools-tools-erase-brush,2Fy6N10uc4IxKuzEW7kCZJ,Erase Brush Tool
tools-tools-selection-brush,ML2eY2ljhfDPH1HkdZod8,Selection Brush Tool
tools-tools-clrpicker,49Qb3hza4OvU6bmuK4NyWc,Color Picker Tool
tools-tools-portrait-blur,4ex8gx1j8c4SvCBZwmITjq,Portrait Blur Tool
get-started-import-cad,3FYlrawRvVwcd9Szohp9pu,Importing CAD documents
get-started-drawing-scale,6gmj8BEnF0bbZejISxZt1t,Drawing scale
